Full Name,Description,Job,Country,Father,Mother,Spouse,Birth Date,Death Date,Birth Place,Death Place,Death Reason,Known for,Notable Work,Image,Website,Children,Native Name,Signature,Title,Honours,Awards,Education,Birth Name,Nationality,Weight,Height,Eye Color,Hair Color
Nalini Priyadarshni,,"Writer, poet",,,,,,,"Jalandhar, Punjab",,,,,,,,,,,,,,,Indian,,,,
Nalini Singh,,[[Journalist]] and [[Author]],,,,S. P. N. Singh,{{Birth date and age|1945|9|01|mf|=|y}},,Jalandhar,,,Investigative Journalism,,,"https://twitter.com/NaliniSinghTv
http://www.nepal1tv.net/contactus.html","Ratna Vira (daughter, Author, Daughter By Court Order Sukaran Singh (son, VP - Tata Advanced Systems)",,,,,,,Nalini Shourie,[[India]]n,,,,
Nalini Sriram,,"entrepreneur, fashion costume designer, celebrity stylist",,,,[[S. Sriram]] (d.2019),,,,,,fashion designing,,,,,,,,,,,,[[India]]n,,,,
Nameirakpam Montesori Chanu,,,,,,,{{birth date and age|df|=|yes|1992|2|1}},,"Leikai, [[Manipur]], India",,,,,,,,,,,,,,,,,,,
Namita Gokhale,,"Writer, Editor, Festival Director, Publisher",,,,,1956,,"[[Lucknow]], Uttar Pradesh, India",,,,,Namita_Gokhale.jpg,{{URL|https://www.namitagokhale.in}},,,,,,,,,Indian,,,,
Namita Toppo,,,,,,,{{Birth date and age|1995|6|4|df|=|y}},,"[[Odisha]], [[India]]",,,,,,,,,,,,,,,,53 kg,1.63 m,,
Nandini Sahu,,"Writer, poet, critic",,,,,{{birth date and age|df|=|yes|1973|07|23}},,"[[G. Udayagiri]], Orissa, India",,,,,,,,,,,,,,,Indian,,,,
Nandita Mahtani,,[[Fashion Designer]],,,,[[Vidyut Jammwal]] (2021–present),{{birth year|1972}} (age {{age|1972|01|01}} ),,"[[Bombay]], now [[Mumbai]], [[Maharashtra]], [[India]]",,,,,Nandita Methani graces the Moet N Chandon bash at F bar 09.jpg,,,,,,,,,,,,,,
Nandita Saha,,,,,,,,,"[[Siliguri]], [[India]]",,,,,,,,,,,,,,,,,,,
Nanjanagudu Tirumalamba,,"Kannada Writer, Political activist, feminist, poet-writer, Publisher, Newspaper Editor, Printer",,,,,{{Birth date|df|=|yes|1887|03|25}},{{Death date and age|df|=|yes|1982|08|31|1887|03|25}},"Nanjanagudu, [[Mysore State]], [[British India]]<br/>(now in [[Mysore]], [[Karnataka]], [[India]])","Nanjanagudu, Mysore, Karnataka,India.",,,,Nanjangud-Tirumalamba-pic.jpg,,,,,,,,,Nanjanagudu Tirumalamba,,,,,
Natasha Palha,,,{{IND}},,,,{{birth date and age|df|=|yes|1994|1|17}},,Goa,,,,,Natasha_Palha.jpg,,,,,,,,,,,,,,
Navjot Kaur,,,,,,,{{birth date and age|df|=|yes|1990|2|10}},,"[[Tarn Taran district]], [[Punjab, India]]",,,,,,,,,,,,,,,Indian,{{convert|67|kg}},,,
Navjot Kaur,,,,,,,{{Birth date and age|1995|3|7|df|=|y}},,"[[Kurukshetra]], Haryana, India",,,,,,,,,,,,,,,,53 kg,1.67 m,,
Navneet Kaur,,,,,,,{{Birth date and age|1996|1|26|df|=|y}},,"[[Shahabad Markanda]], [[Haryana]], India",,,,,,,,,,,,,,,,59 kg,1.63 m,,
Begum Faiz-un-Nissa Choudhurani,,,,Ahmed Ali Chowdhury alias Shahzada Mirza Aurangazeb,Begum Araf-un-Nissa Choudhurani,Muhammad Gazi,1834,,"[[Comilla District|Homnabad]], [[Bengal Presidency]], [[Company rule in India|British India]] (now [[Laksham]], Bangladesh)","Pashchimgaon, Bengal Presidency, [[British Raj|British India]]",,,,Faizunnesa.jpg,,,,,[[Nawab]],,,,,,,,,
Nayanjot Lahiri,,,,,,,,,,,,Work in [[Archaeology]],,,,,,,,,"[[John F. Richards]], [[Infosys Prize]]",,,Indian,,,,
Nayantara Sahgal,,Writer,,,,,{{birth date and age|df|=|yes|1927|05|10}},,"[[Allahabad]], [[United Provinces of British India|United Provinces]], [[British India]]",,,,,"Nayantara Sahagal,Indian origin english language writer,India.jpg",,[[Gita Sahgal]],,,,,,,,Indian,,,,
Nazleen Madraswalla,,,,,,,{{birth date and age|1962|9|6|df|=|yes}},,,,,,,,,,,,,,,,,Indian,,,,
Neelam Saxena Chandra,,"Writer, author, [[bureaucrat]]",,,,Prafulla Chandra,{{Birth date |df|=|yes|1969|06|27}},,"[[Nagpur]], Maharashtra, India",,,,,Neelam Chandra Saxena.jpg,{{URL|neelamsaxenachandra.com}},Simran Chandra,,,,,<br>[[Radio City Freedom Awards]],,,Indian,,,,
Neelam Setti Laxmi,,,{{flagu|India}},,,,{{birth date and age|1973|03|05|df|=|y}},,,,,,,,,,,,,,,,,,{{convert|68.09|kg|lb|abbr|=|on}},,,
Neelima Gupte,,,,,,,,,,,,,,,,,,,,,,,,[[Indian people|Indian]],,,,
Neel Kamal Puri,,Writer,,,,Asit Jolly,{{Birth date|df|=|yes|1956|02|14}},,"[[Ludhiana]], [[Punjab, India]]",,,,,Neel Kamal Puri.jpg,,,,,,,,,,,,,,
Neelum Saran Gour,,Writer and academic,,,,,{{Birth date and age|1955|10|12|df|=|y}},,"[[Allahabad]], India",,,,,NeelumSaranGour.jpg,{{URL|http://www.neelumsarangour.com}},,,,,,,,,[[India]]n,,,,
Neelum Sharma,,"News Anchor, Journalist",,,,Anil Kapoor {{who|date|=|May 2020}},1969,{{death date and age|2019|08|17|1969}},,,,,,NeelumSharma 2.jpg,,Neelabh Kapoor,,,,,"Aadhi Abadi Women Achievers Award 2010
Media Maharathi 2013
[[Nari Shakti Puraskar]] 2019",,,Indian,,,,
Neena Haridas,,Journalist and Writer,,,,,{{birth date and age|df|=|yes|1973|07|16}},,,,,,,Neena Haridas.jpg,,,,,,,,,,India,,,,
Neera Desai,,Academic,,,,{{marriage|[[Akshay Ramanlal Desai]]|1947}},{{Birth year|1925}},{{Death date and age|df|=|yes|2009|06|25|1925|01|01}},,"[[Mumbai]], [[India]]",,"Women's Studies frontrunner, <br/>academician, social activist.",,Neera Desai photograph.jpg,,[[Mihir Desai]],,,,,,,,[[India]],,,,
Neeraja Kona,,"[[Personal stylist|Stylist]], [[Costume Designer]], [[Lyricist]]",,,,,{{Birth date and age|df|=|yes|1983|04|29}},,"[[Bapatla]], [[Andhra Pradesh]], India",,,,,,,,,,,,,,,,,,,
Neeta Kadam,,,India,,,,{{Birth date and age|1961|12|9|df|=|yes}},,India,,,,,,,,,,,,,,,,,,,
Neeta Lulla,,{{Hlist | Costume designer | couturier | fashion stylist}},,,,Shyam Lulla,{{birth date and age|1965|3|5|df|=|y}},,"[[Mumbai]], [[Maharashtra]], India",,,,,Neeta Lulla at India Resort Fashion Week 2012.jpg,{{URL|http://www.neetalulla.com/}},2,,,,,[[National Film Awards for Best Costume Design]],,,,,,,
Neeta Ramaiya,,"Poet, children's writer, translator",,,,,{{birth date and age|df|=|yes|1941|07|14}},,"[[Morbi]], [[British India]] (now in [[Gujarat]], India)",,,,,,,,,Neeta Ramaiya signature.jpg,,,,M.A.Ph.D,,,,,,
Neetu David,,,India,,,,{{Birth date and age|1977|9|1|df|=|y}},,"[[Kanpur]], [[Uttar Pradesh]], India",,,,,,,,,,,,,,,,,,,
Neha Aggarwal Sharma,,,,,,,{{birth date and age|1990|01|11|df|=|yes}},,[[India]],,,,,,,,,,,,,,,{{IND}},{{convert|67|kg|lb|0|abbr|=|on}},{{height|m|=|1.70|precision|=|0|abbr|=|on}},,
Neha Dixit,,,,,,,,,,,,,,Neha CPJ Award (cropped).jpg,,,,,,,,,,,,,,
Neha Goyal,,,,,,,{{Birth date and age|1996|11|15|df|=|y}},,"[[Haryana]], India",,,,,,,,,,,,,,,,54 kg,1.52 m,,
Neha Rathi,,,,,,,,,,,,,,NehaRathi.JPG,,,,,,,,,,[[India]],{{convert|51|kg}},,,
Neha Tanwar,,,India,,,,{{Birth date and age|1986|08|11|df|=|yes}},,"[[Delhi]], India",,,,,,,,,,,,,,,,,,,
Netha Hussain,,"Medical doctor, researcher, Wikipedian and scientist",,,,,,,"[[Kunnamangalam]], [[Kerala]], India",,,,,File:Netha Hussain-925.jpg,{{url|https://nethahussain.com/author/nethahussain/}},,,,,,Women in Open Source Award (2020),,,,,,,
Nethra Kumanan,,,,,,,{{birth date and age|1997|8|21|df|=|yes}},,,,,,,File:Nethra Kumanan participating in YAI Senior National Championship 2015 in Mumbai.jpg,,,,,,,,,,{{IND}},,,,
Nganbam Sweety Devi,,,,,,,{{Birth date and age |1999|12|1|df|=|y}},,[[Manipur]],,,,,,,,,,,,,,,,,,,
Nidhi Ashok Buley,,,India,,,,{{Birth date and age|1986|8|14|df|=|yes}},,"[[Indore]], [[India]]",,,,,Nidhi Buley at a match.jpg,,,,,,,,,,,,,,
Nidhi Razdan,,Journalist,,,,{{married|[[Neelesh Misra]]|2005|2007|reason|=|div.}},{{Birth date and age|1977|04|11|df|=|y}},,"[[Budgam]], [[Jammu and Kashmir (state)|Jammu and Kashmir]], India",,,,,Nidhi Razdan 2016.jpg,,,,,,,,,,,,,,
Nidhi Yasha,,[[Costume designer]],,,,,{{Birth date and age|1983|04|26|df|=|y}},,"[[Patna]], [[Bihar]]",,,,,,,,,,,,,,,,,,,
Niharika Khan,,"Costume Designer, Celebrity Stylist",,,,,21 November,,,,,"National Award Winner for The Dirty Picture, 70s Styling for the period Movie Bombay Velvet",,Niharika Khan.jpg,,,,,,,,,,Indian,,,,
Nikhat Zareen,,,,,,,{{Birth date and age|df|=|yes|1996|06|14}},,"[[Nizamabad district]], [[Andhra Pradesh]] (now in [[Telangana]]), [[India]]",,,,,,,,,,,,,,,Indian,{{convert|51|kg|lb}},,,
Nikki Pradhan,,,,,,,{{Birth date and age|1993|12|8|df|=|y}},,"Hesal, [[Khunti district|Khunti]], [[Bihar]]<br/>(now in [[Jharkhand]]), India",,,,,,,,,,,,,,,,49 kg,1.53 m,,
Nilanjana Roy,,"Columnist, Author",,,,Devangshu Datta,,,[[Kolkata]],,,,"''The Wildings'', ''The Hundred Names of Darkness'', ''The Girl Who Ate Books''",,,,,,,,2013 [[Shakti Bhatt Prize|Shakti Bhatt First Book Prize]],,,Indian,,,,
Nilanjana Roy,,"Columnist, Author",,,,Devangshu Datta,,,[[Kolkata]],,,,"''The Wildings'', ''The Hundred Names of Darkness'', ''The Girl Who Ate Books''",,,,,,,,2013 [[Shakti Bhatt Prize|Shakti Bhatt First Book Prize]],,,Indian,,,,
Nilima Joglekar,,,India,,,,{{Birth date and age|1961|7|21|df|=|yes}},,[[India]],,,,,,,,,,,,,,,,,,,
Niranjani Ahathiya,,"Actress, [[Costume designer]], [[Fashion stylist]]",,,,Desingh Periyasamy (m:2021),{{birth date and age|1986|06|8|df|=|y}},,"[[Chennai, Tamil Nadu]], India",,,,,Niranjani Sicp 27-23.png,,,,,,,,,,,,,,
Nirmal Kumar Bose,,"Anthropologist, Social worker",,,,,{{Birth date|df|=|yes|1901|1|22}},{{Death date and age|df|=|yes|1972|10|15|1901|1|22}},"[[Kolkata]], [[Bengal Presidency|Bengal]], British India","[[Kolkata]], West Bengal, India",,,,,,,,,,,,,,Indian,,,,
Nirmal Prabha Bordoloi,,"Poet, lyricist",,,,,{{Birth based on age at death|71|2004|6|1}},{{death date and given age|df|=|yes|2004|6|1|71}},,Guwahati,,,"`Kabita: Bon Faringar Rong', `Samipesu', `Antarang', `Asamar Luko Sangonskriti', `Siba', `Asamar Luko Kabita'",NirmalPrabhaBordoloiPic.jpg,,1,,,,,Sahitya Akademi Award,MA PhD,,,,,,
Nirmal Saini,,[[Volleyball]] player,,,,{{marriage|[[Milkha Singh]]|1963|2021|end|=|her death}},{{birth date|df|=|yes|1938|10|8}},{{death date and age|df|=|yes|2021|06|13|1938|10|8}},"[[Sheikhupura]], [[Punjab Province (British India)|Punjab]], [[British Raj|British India]]<br> {{small|(present-day [[Punjab, Pakistan|Punjab]], [[Pakistan]])}}","[[Mohali]], India",,,,,,5; including [[Jeev Milkha Singh]],,,,,,,Nirmal Kaur Saini,[[Indian people|Indian]],,,,
Nirmala Devi,,,,,,,{{birth date and age|1984|6|26|df|=|y}},,"[[Hisar district]], [[Haryana]], India",,,,,,,,,,,,,,,,48 kg,162 cm,,
Nirmala Govindarajan,,Novelist and journalist,,,,,,,,,,,,Niramala_Govindrajan_At_Book_Launch_Event.jpg,{{Official website}},,,,,,,,,Indian,,,,
Nirmala Sitharaman,,,,,,{{marriage|[[Parakala Prabhakar]]|12th September 1986}},{{birth date and age|1959|08|18|df|=|yes}},,"[[Madurai]], [[Madras State]], [[India]]<br>(present-day [[Tamil Nadu]])",,,,,"Smt. Nirmala Sitharaman addressing a press conference on June 28, 2021, in New Delhi (cropped).jpg",,1,,,,,,,,,,,,
Shri Mataji Nirmala Srivastava,,,,,,{{marriage|[[Chandrika Prasad Srivastava]]|1947}},{{Birth date|1923|03|21}},{{Death date and age|2011|02|25|1923|03|21}},"[[Chhindwara]], [[Madhya Pradesh]], India","[[Genoa]], Italy",,[[Sahaja Yoga]],,Shri Mataji Nirmala Shrivastava.jpg,http://www.sahajayoga.org/,,,,,,,,,,,,,
Nirupama Devi,,,,,,,{{Birth date|df|=|yes|1883|05|05}},{{Death date and age|df|=|yes|1951|01|07|1883|05|05}},,,,,,NirupamaDeviPic.jpg,,,,,,,,,Nirupama Devi,,,,,
Nirupama Mankad,,,{{IND}},,,,,,"[[Karachi]], Pakistan",,,,,,,,,,,,,,,,,,,
Nirupama Pandey,,[[Indian Air Force|IAF]] Officer,,,,Wg Cdr Prakash Jha,,,"Jamo Jalalpur, [[Siwan district|Siwan]], [[Bihar]], [[India]]",,,Being the first person from [[Bihar]] to scale [[Mount Everest]],,,,,,,,,,"[[Ness Wadia College of Commerce]], [[Pune]]",,,,,,
Nirupama Rao,,[[Civil Servant]],,,,,{{Birth date and age|1950|12|6|df|=|y}},,"[[Malappuram]], [[Kerala]], [[India]]",,,,,Nirupama_Rao.jpg,{{URL|www.nirupamamenonrao.net}},,,,,,,,,[[India]]n,,,,
Nirupama Sanjeev,,,{{IND}},,,,{{Birth date and age|df|=|yes|1976|12|08}},,"[[Coimbatore]], India",,,,,"XIX Commonwealth Games-2010 Delhi Nirupama Sanjeev and Rohan Bopanna of India, during a mixed-double match against Rodionova & Hanley of Australia, at R.K. Khanna Tennis Stadium, in New Delhi on October 04, 2010.jpg",{{url|www.nirustennis.com}},,,,,,,,,,,{{height|m|=|1.70}},,
Nisha Mohota,,,[[India]],,,,{{birth date and age|1980|10|13|df|=|y}},,"[[Hinganghat]], India",,,,,,,,,,[[International Master]]<br>[[Woman Grandmaster]],,,,,,,,,
Nisha Sharma,,,,,,,{{birth date and age|1959|6|1|df|=|yes}},,,,,,,,,,,,,,,,,Indian,,,,
Nisha Warsi,,,,,,,{{birth date and age|1995|7|9|df|=|yes}},,[[Sonipat]],,,,,,,,,,,,,,,{{IND}},,{{convert|abbr|=|on|1.65|m}},,
Nistula Hebbar,,"Book author, columnist",,,,{{marriage|Kartikeya Sharma|1999}},{{birth-date and age|17 March 1975}},,"[[Delhi]], [[India]]",,,"Author of ""Kiss and Tell""",,Nistual snap.png,,,,,,,,,,,,,,
Nita Ambani,,[[Philanthropist]],,,,{{marriage|[[Mukesh Ambani]]|1985}},{{birth date and age|1963|11|01|df|=|y}},,"[[Mumbai]], [[Maharashtra]], India",,,,,File:NitaAmbani.jpg,,3,,,,,,,Nita Dalal,,,,,
Nitasha Kaul,,"Writer, Poet, Activist, Academic",,,,,1976,,"[[Jammu and Kashmir (state)|Jammu and Kashmir]], [[India]]",,,''Residue'',,Nitasha Kaul speaking at the New Internationalist's 40th Anniversary.jpg,,,,,,,,,,,,,,
Nivedita Menon,,"Writer, professor",,,,,,,,,,,,Niv menon.jpg,,,,,,,,,,Indian,,,,
Niyati Roy-Shah,,,,,,,{{birth date and age|1965|9|30|df|=|yes}},,,,,,,,,,,,,,,,,Indian,,,,
Nongmaithem Ratanbala Devi,,,,,,,{{Birth date and age |1999|12|2|df|=|y}},,[[Manipur]],,,,,,,,,,,,,,,,,,,
Nora Margaret Polley,,,{{IND}},,,,29 July 1894,1988 (aged 93–94),"[[Bengal]], India","[[Leominster]], Great Britain",,,,,,,,,,,,,Nora Margaret Fischer,,,,,
Nuchhungi Renthlei,,Writer,,,,R. Rualkhuma,{{Birth date|df|=|yes|1914|01|01}},{{Death date and age|df|=|yes|2002|01|01|1914|01|01}},"Mizoram, India",,,[[Mizo language|Mizo]] poems,,,,6,,,,,[[Padma Shri]],,,,,,,
N. Pankaja,,,,,,,{{birth date and age|1929|6|2|df|=|yes}},,"[[Bangalore]], [[Mysore State]], [[British India]]",,,,,,,,ನುಗ್ಗೇಹಳ್ಳಿ ಪಂಕಜ,,,,,,,Indian,,,,
Nutakki Priyanka,,,[[India]],,,,{{Birth date and age|df|=|y|2002|6|1}},,"[[Kanuru]], [[India]]",,,,,,,,,,[[FIDE titles|Woman International Master (WIM)]] (2018),,,,,,,,,
Nuzhat Masih Parween,,,India,,,,{{Birth date and age|1996|9|5|df|=|yes}},,"[[Singrauli]], [[Madhya Pradesh]], India",,,,,,,,,,,,,,,,,,,
Nyla Usha,,{{hlist|Film actress|radio jockey|model|TV host}},,,,{{Marriage|Rona Rajan|2007}},{{birth-date and age|25 March 1984}},,"[[Trivandrum, Kerala]], India",,,,,Nyla usha profile pic 1.jpg,,1,,,,,,,Nyla Usha Gopakumar,,,,,
O. V. Usha,,"Poet, novelist",,,,,{{birth date and age|1948|11|4|df|=|y}},,,,,,,Ov usha kollam 2019 2.jpg,,,,,,,,,,,,,,
Oinam Bembem Devi,,,,,,,{{birth date and age|1980|04|4|df|=|yes}},,"[[Imphal]], [[Manipur]], [[India]]",,,,,"The President, Shri Ram Nath Kovind presenting the Arjuna Award, 2017 to Ms. Oinam Bembem Devi for Football, in a glittering ceremony, at Rashtrapati Bhavan, in New Delhi on August 29, 2017.jpg",,,,,,,,,,,,{{height|ft|=|5|in|=|2}},,
Okram Roshini Devi,,,,,,,{{birth date and age|df|=|yes|1994|2|8}},,"[[Manipur]], [[India]]",,,,,,,,,,,,,,,,,,,
P. C. Thulasi,,,{{IND}},,,,{{birth date and age|df|=|yes|1991|8|31}},,"[[Palakkad]], [[Kerala]], India",,,,,,,,,,,,,,Puthenpurayil Chandrika Thulasi,,,{{convert|1.63|m|ftin|abbr|=|on}},,
P. Jyotshna,,,{{IND}},,,,{{birth date and age|df|=|yes|1988|12|22}},,[[India]],,,,,,,,,,,,,,Jyotshna Polavarapu,,,,,
P.K. Jayalakshmi,,,,,,C. A. Anilkumar (2015-present),{{Birth date and age|df|=|yes|1980|10|03}},,,,,,,പി. കെ. ജയലക്ഷ്മി.jpg,,,,,,,,,,[[India]]n,,,,
P. KILEMSUNGLA,,,,,,,{{birth date and age|df|=|yes|1951|3|01}},,"[[Nagaland]], India",,,,,,,,,,,,[[Padma Shri]],"M.A.(Education), Ph.D. (Teacher Education) NEHU 2002",,,,,,
P S Jeena,,,,,,,9 January 1994,,"Kalpetta, Wayanad",,,,,,,,,,,,,,,Indian,,179 cm,,
P. V. Nandhidhaa,,Indian Chess Player,,,,,{{Birth date and age|1996|4|10}},,"[[Sankagiri, Tamil Nadu]], India",,,,,P. V. Nandhidhaa at College of Engineering Guindy.jpg,,,,,,,,,,,,,,
P. V. Sindhu,,,[[India]],,,,{{Birth date and age|df|=|yes|1995|7|5}},,"[[Hyderabad]], [[Andhra Pradesh]], India<br> {{small|(now in [[Telangana]]), India}}",,,,,PV Sindhu headshot.jpg,,,,,15,,,,Pusarla Venkata Sindhu,,65 kg,1.79 m,,
P.&nbsp;V.&nbsp;V. Lakshmi,,,[[India]],,,,,,"[[Vijayawada]], [[Krishna District]], [[Andhra Pradesh]]",,,,,,,,,,,,,,,,,{{convert|1.7|m|ftin|abbr|=|on}},,
P. Valsala,,"Writer, teacher",,,,,{{birth date and age|df|=|yes|1938|4|4}},,"[[Calicut]], [[Madras Presidency]], [[British India]]",,,,,Pvalsala.jpg,{{URL|http://www.vatsalap.com}},,,,,,,,,Indian,,,,
Padma Desai,,"Gladys and Roland Harriman Professor of [[comparative economic systems]], [[Columbia University]] (1992–present)",,,,[[Jagdish Bhagwati]],{{Birth date and age|1931|10|12|mf|=|y}},,"Surat, Gujarat, India",,,,,,,,,,,,,,,,,,,
Padma Gole,,[[Poetry|Poet]],,,,,1913,1998,"[[Tasgaon]], [[Sangli]]",,,,,PadmaGolePic.jpg,,,,,,,,,,[[India]]n,,,,
Padma Sachdev,,"Poet, writer",,,,Vedpal Deep and  later  [[Surinder Singh (singer)|Surinder Singh]] (1966-2021),{{Birth date|df|=|no|1940|04|17}},{{Death date and age|df|=|no|2021|08|04|1940|04|07}},"[[Purmandal]] [[Jammu]], [[Jammu and Kashmir (princely state)|Jammu and Kashmir]], [[British Raj]]",Mumbai,,,,"Padma Sachdev bharat-s-tiwari-photography-IMG 0781 May 12, 2018.jpg",,,,,,,,,,Indian,,,,
Padmini Rout,,,India,,,,{{Birth date and age|1994|1|5}},,"Barambagarh, [[Odisha]], India",,,,,Rout Padmini 2009.jpg,,,,,[[International Master]] (2015) <br>[[Woman Grandmaster]] (2007),,,,,,,,,
Padmini Swaminathan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palak Kohli,,,,,,,,,"[[Jalandhar]], [[Punjab, India|Punjab]] [[India]]",,,,,Palak_kohli.jpg,,,,,,,,,,,,5.2 ft,,
Palak Muchhal,,Singer,,Rajkumar Muchhal,Amita Muchhal,,{{Birth date and age|df|=|yes|1992|03|30}},,"[[Indore]], [[Madhya Pradesh]], [[India]]",,,,,Palak Muchhal filmfare.jpg,,,,,,"*[[Pradhan Mantri Rashtriya Bal Puraskar]] (2000)
*[[Doctorate|Doctorate Degree by the American University USA for Global Peace]] (2021)",,[[B.Com]],,[[Indian people|Indian]],,,,
Pallavi Shah,,,[[United States]],,,,,,,,,,,,,,,,[[FIDE titles|Woman International Master (WIM)]] (1999),,,,,,,,,
Pamela Chopra,,"[[Playback singer]], [[film producer]], [[Screenwriter|writer]]",,,,{{marriage|[[Yash Chopra]]|1970|2012|reason|=|death}},{{birth year and age|1938}},,,,,,,Yash Chopra gets title Ambassador of Interlaken.jpg,,[[Aditya Chopra]]<br>[[Uday Chopra]],,,,,,,Pamela Singh,Indian,,,,
Pamela Chaudry Singh,,Photographer,,,,,{{birth year and age|1961}},,"[[New Delhi]], India",,,[[Femina Miss India|Miss India]],,,,,,,,,,,,[[India]]n,,,,
Panchanan Mitra<br/>পঞ্চানন মিত্র,,,,,,Nirmala,{{Birth date|1892|5|25|df|=|yes}},{{Death date and age|1936|7|25|1892|5|25|df|=|yes}},"[[Kolkata]], [[Bengal Presidency|Bengal]], [[British India]]","Kolkata, Bengal, British India",,Anthropology,,,,,,,,,,[[Anthropologist]],,,,,,
Pandita Ramabai,,"Social reformer,",,,,,{{birth date|1858|4|23|df|=|y}},{{death date and age|1922|4|5|1858|4|23|df|=|y}},"[[Kanara|Canara district]], [[Madras Presidency]], [[British India]]","[[Bombay Presidency]], British India",,Ministry among Destitute & Orphan girls,''The High-Caste Hindu Woman'',Pandita Ramabai Sarasvati 1858-1922 front-page-portrait.jpg,,Manorama,,,,,,,Rama Dongre,Indian,,,,
Papiya Ghosh,,Historian,,,,,8 October 1953,3 December 2006,"[[Dumka]], Bihar, India","[[Patna]], Bihar, India",,,,Malti_and_Papiya.jpg,,,,,,,,,,,,,,
Parbati Giri,,,,,,,1926,1995,"[[Sambalpur]], [[Odisha]]",,,,,,,,,,,,,,,[[India]],,,,
Parul Dalsukhbhai Parmar,,,{{IND}},,,,{{Birth date and age|1973|03|20|df|=|yes}},,"[[Gandhinagar]], [[Gujarat]], [[India]]",,,,,"The President, Smt. Pratibha Devisingh Patil presenting the Arjuna Award-2009 to Ms. Parul D. Parmar for Badminton (Para Sports), in a glittering ceremony, at Rashtrapati Bhawan, in New Delhi on August 29, 2009.jpg",,,,,,,,,,,,,,
Parvathy <br />பார்வதி,,"Poet, lyricist",,,,,,,"[[Chennai]], [[Tamil Nadu]], India",,,,,15mp Parvathy.jpg,,,,,,,,,,,,,,
Parveen Talha,,Civil servant,,,,,,,"[[Lucknow]], Uttar Pradesh, India",,,,,,,,,,,,[[Padma Shri]]<br>[[President of India|President's Award]] for Distinguished Service,,,,,,,
Payal Arora,,"Professor of Technology, Values, and Global Media Cultures",,,,,,,,,,[[The Next Billion Users]],,NEXT19 (48765542407).jpg,{{URL|http://payalarora.com/}},,,,,,[[Erasmus University Rotterdam]] Education Prize (2017),,,,,,,
Payal Jain,,,,,,,,,,,,,,,,,,,,,,,,Indian,,,,
Perin Captain,,,,,,Dhunjisha S. Captain,12 October 1888,1958,"[[Mandvi]], [[Kutch District]], [[Gujarat]], India",,,,,,,,,,,,[[Padma Shri]],,,,,,,
Pernia Qureshi,,"Entrepreneur, actress, stylist",,,,,,,"[[Lahore]], Pakistan",,,,,Pernia Qureshi at Lakme Fashion Week 2016 - Day 3 (cropped).jpg,,,,,,,,,Pernia Moin Qureshi,,,,,
Pinki Rani Jangra,,,,,,,{{birth date and age|df|=|yes|1990|4|28}},,,,,,,File:Pinki_Rani_Jangra.png,,,,,,,,,,Indian,{{convert|51|kg|lb}},,,
Pinki Virani,,"Journalist, writer",,,,[[Shankkar Aiyar]],{{birth date and age|30 January 1959}},,"[[Bombay]], India",,,,,,,,,,,,,,,,,,,
Piro Preman,,,,,,,{{birth year|1832}},{{death year and age|1872|1832}},[[Sikh Empire]],"[[Punjab Province (British India)|Punjab]], [[British India]]",,,''Ik Sau Sath Kafian'',,,,,,,,,,,,,,,
Ponaka Kanakamma,,,,,,Ponaka Subbarami Reddy,10 June 1892,15 September 1963,"[[Minagallu, Nellore]], [[Andhra Pradesh]]",Nellore,,,,Ponaka_Kanakamma.jpg,,1 daughter,,,,,,,,,,,,
Pooja Gehlot,,,[[India]],,,,{{Birth date and age|df|=|yes|1997|3|15}},,"[[lampur Village]], [[Delhi]], India",,,,,,,,,,,,,,,,,5 ft 3 in,,
Pooja Ghatkar,,,,,,,,,"[[Pune]], [[Maharashtra]], India",,,,,Pooja Ghatkar at the 12th South Asian Games 2016.jpg,,,,,,,,,,[[Indian people|Indian]],{{convert|64|kg|lb|abbr|=|on}},{{convert|165|cm|ftin|abbr|=|on}},,
Pooja Kadian,,,India,,,,{{birth-date and age|1 October 1991}},,"[[Jhajjar district]], [[Haryana]], India",,,,,"The President, Shri Ram Nath Kovind presenting the Arjuna Award, 2018 to Ms. Pooja Kadian for Wushu, in a glittering ceremony, at Rashtrapati Bhavan, in New Delhi on September 25, 2018.JPG",,,,,,,,,,Indian,75 kg,,,
Pooja Rani Bohra,,,,,,,{{Birth date and age|df|=|yes|1992|03|17}},,"[[Nimriwali]], [[Bhiwani district]], [[Haryana]], India",,,,,,,,,,,,,,,Indian,,5 ft 8 in,,
Pooja Sahasrabudhe,,,,,,,{{Birth date and age|df|=|yes|1991|09|13}},,"[[Thane]], [[India]]",,,,,Pooja Service.jpg,,,,,,,,,,{{IND}},,{{height|m|=|1.68}},,
Poojashree Venkatesha,,,{{IND}},,,,{{birth date and age|df|=|yes|1990|07|27}},,"[[Mandya]], India",,,,,"XIX Commonwealth Games-2010 Delhi Poojashree Venkatesha of India in action against Heather Watson of Guernsey, at R.K. Khanna Tennis Stadium, in New Delhi on October 06, 2010.jpg",,,,,,,,,,,,{{convert|1.83|m|ftin|abbr|=|on}},,
Poonam Gupta OBE,,[[Entrepreneur|Businesswoman]],,,,Puneet Gupta,{{Birth date and age|df|=|yes|1976|08|17}},,"[[New Delhi]], India",,,"Founder of PG Paper Co., Ltd",,Poonam Gupta.jpg,,,,,,,,,,British (Indian),,,,
